file,status,evidence
./app/ui/wayland/idle_notify.oo,GREEN,imported by app/ui/wayland/ANCHOR.oo
./app/ui/wayland/layer_shell.oo,GREEN,imported by app/ui/wayland/client.oo
./app/ui/wayland/output_seat.oo,GREEN,imported by app/ui/wayland/ANCHOR.oo
./app/ui/wayland/wayland_wire.oo,GREEN,imported by app/ui/wayland/core.oo
./app/ui/wcag_2_2_principle.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/web_ecosystem/ANCHOR.oo,ANCHOR,front-door (RULES §1.19)
./app/ui/web_ecosystem/color_chalk.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/cuid2_generator.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/date_fns_add.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/date_fns_diff.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/date_fns_format.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/date_fns_parse.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/date_fns_timezone.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/diff_match_patch.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/event_emitter.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/fast_glob_matcher.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/form_data_parser.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/html_sanitizer.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/humanize_bytes.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/jwt_decoder.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/jwt_encoder.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/jwt_verifier.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/lodash_chunk.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/lodash_clonedeep.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/lodash_debounce.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
./app/ui/web_ecosystem/lodash_flatten.oo,GREEN,imported by app/ui/web_ecosystem/ANCHOR.oo
